Msg Timestamp,Message,Time,Unit of Measurement,Timing Source,Event Level,Event Identifier
0,BACKEND,6090,US,BACKEND,ROOT,RPC (finalize) time
0,BACKEND,5720,US,BACKEND,ROOT,QNN accelerator (finalize) time
0,BACKEND,5609,US,BACKEND,ROOT,Accelerator (finalize) time
0,FINALIZE,34695,US,BACKEND,ROOT,QNN (finalize) time
0,UNKNOWN,184,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
0,UNKNOWN,19003,US,BACKEND,SUB-EVENT,Graph Optimizations
0,UNKNOWN,467,US,BACKEND,SUB-EVENT,Post Graph Optimization
0,UNKNOWN,1396,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
0,UNKNOWN,136,US,BACKEND,SUB-EVENT,VTCM Allocation
0,UNKNOWN,66,US,BACKEND,SUB-EVENT,Parallelization Optimization
0,UNKNOWN,198,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
0,UNKNOWN,31,US,BACKEND,SUB-EVENT,Completion
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1024,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,637,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,0,COUNT,BACKEND,ROOT,Num times yield occured
0,BACKEND,639,US,BACKEND,ROOT,Time for initial VTCM acquire
0,BACKEND,3299,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
0,BACKEND,64892,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
0,NODE,3672,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
0,NODE,17715,CYCLES,BACKEND,SUB-EVENT,X_QuantizeLinear:OpId_16 (cycles)
0,NODE,9773,CYCLES,BACKEND,SUB-EVENT,mm0:OpId_18 (cycles)
0,NODE,1885,CYCLES,BACKEND,SUB-EVENT,mm1:OpId_22 (cycles)
0,NODE,9231,CYCLES,BACKEND,SUB-EVENT,mm2:OpId_26 (cycles)
0,NODE,2192,CYCLES,BACKEND,SUB-EVENT,mm3:OpId_30 (cycles)
0,NODE,2101,CYCLES,BACKEND,SUB-EVENT,mm4:OpId_34 (cycles)
0,NODE,2244,CYCLES,BACKEND,SUB-EVENT,mm5:OpId_38 (cycles)
0,NODE,2040,CYCLES,BACKEND,SUB-EVENT,mm6:OpId_42 (cycles)
0,NODE,8782,CYCLES,BACKEND,SUB-EVENT,mm7:OpId_46 (cycles)
0,NODE,0,CYCLES,BACKEND,SUB-EVENT,Y_DequantizeLinear:OpId_49 (cycles)
0,NODE,5257,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
0,BACKEND,292,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,48,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1083,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,328,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,202,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,0,COUNT,BACKEND,ROOT,Num times yield occured
0,BACKEND,113,US,BACKEND,ROOT,Time for initial VTCM acquire
0,BACKEND,13,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
0,BACKEND,55156,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
0,NODE,1355,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
0,NODE,7298,CYCLES,BACKEND,SUB-EVENT,X_QuantizeLinear:OpId_16 (cycles)
0,NODE,2037,CYCLES,BACKEND,SUB-EVENT,mm0:OpId_18 (cycles)
0,NODE,1724,CYCLES,BACKEND,SUB-EVENT,mm1:OpId_22 (cycles)
0,NODE,10213,CYCLES,BACKEND,SUB-EVENT,mm2:OpId_26 (cycles)
0,NODE,5163,CYCLES,BACKEND,SUB-EVENT,mm3:OpId_30 (cycles)
0,NODE,6054,CYCLES,BACKEND,SUB-EVENT,mm4:OpId_34 (cycles)
0,NODE,6014,CYCLES,BACKEND,SUB-EVENT,mm5:OpId_38 (cycles)
0,NODE,5921,CYCLES,BACKEND,SUB-EVENT,mm6:OpId_42 (cycles)
0,NODE,7287,CYCLES,BACKEND,SUB-EVENT,mm7:OpId_46 (cycles)
0,NODE,0,CYCLES,BACKEND,SUB-EVENT,Y_DequantizeLinear:OpId_49 (cycles)
0,NODE,2090,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
