well,split,typewell_profile_hash,rows,prefix_rows,suffix_rows,gr_valid_fraction,horizontal_sha256,typewell_sha256,horizontal_file,typewell_file
015fe0d2,holdout,f54c2d8e8b904d19f277c7dc43746043d417bbe85d88e8495189ee58f0a96870,5950,1654,4296,0.7457142857142857,9a6cd851670926733a1137cf87b73a083e76c5a884d2f380d3eaca02051f971c,58c7caa5dd802dc1246e403d0eaf8dbc0882052aec6c72b96bdfe75fab3b3fbd,015fe0d2__horizontal_well.csv,015fe0d2__typewell.csv
01869cd4,holdout,5545624acc233ac19b7e0bd30b19cd6c685b423947e521e482f76ef4f5671afd,6850,1293,5557,0.5229197080291971,6cc30c3a6dab778d07cffa6c124575bddd64945144ca37da2d9eef211fa4331c,4869633f8c4531ae81b6f227395940f717da580fd7aa87f1ce025a69d9a8c624,01869cd4__horizontal_well.csv,01869cd4__typewell.csv
01982c1d,holdout,ff32b6e9074eed00ea1a2f2265e5c3faffa0ffa2775af85533c390088794025e,5587,1646,3941,0.8485770538750671,fbf7e78eb5031217725a9998a73ac5b9ca4099f87cc94d00b4101eaa8379d96e,cf3a23914a4f479040523c93febda43cd2330196621b04e641501118b687f8ae,01982c1d__horizontal_well.csv,01982c1d__typewell.csv
028d7b28,holdout,cf34ef2df48068d83528821f0f8e32dec2db346367954621966ebf60c3298a58,7761,1527,6234,0.7821157067388224,b153aa3db5428946c407a843c118b9893d9e3c078e9f393657672723b1da6a9b,a0b691bf563c26a1c3255247a3174bec7f4ada58cf15ee5835e6d411734ca2b8,028d7b28__horizontal_well.csv,028d7b28__typewell.csv
02e7fe5a,dev,94eb27fdcd1e89991e52679204f459ba6a9cd201237026b9975699fdbb7d8979,6888,1780,5108,0.42015098722415795,6f14418973c50c49bf9d37730606e354c07ac2f097dc232fe953d2ed3634bfea,c72f1bdd05fc6c0d7d28ec2f602a0ae38dbdb8c77524b502bf37431103972ba6,02e7fe5a__horizontal_well.csv,02e7fe5a__typewell.csv
0390d174,dev,80609917007c64645d6f35a47df64ad837e411a8b8fee77e45eb85a3c4a9ebc3,6101,1690,4411,0.5204064907392231,69c2e43de963f1b69970ee525830e2c931384ff9c13aa802a7d1d0a97d49cebf,6bc0904db6d207c2d1cb90c59056cd537740af996cd4e671fd04dbf5ced16e22,0390d174__horizontal_well.csv,0390d174__typewell.csv
03a935ae,dev,026875fc11d291119937b5219e2402265c1ce22bae44f8182ec5cf4d50224315,4430,1644,2786,0.9604966139954854,614b8cc9246aecb8fdc4d8e8fb92616ab9d61da6c53f20fa3c3d0b4eac8e573a,b1a8732e8fedaf2780216922770014d2deeb97e15aa981081a7fefca217611c5,03a935ae__horizontal_well.csv,03a935ae__typewell.csv
044af7d1,dev,ba541cde22ee063e69dd1065fbd972f26edca96e12f8d6f269fb80c8664cd92c,6067,1548,4519,0.39409922531729025,3a3fffa02d58d89ed98dec32964f5141047165c517615d6d3f024f2bf66dd76a,e43714c8ac67d466ea2776416cc41e97a6f89211a3333b1a76e3c34b7cb50902,044af7d1__horizontal_well.csv,044af7d1__typewell.csv
0498acab,dev,cce0c192b09395912b50d5a88c368ff83aa200a37c240468afeefa7961e39ed2,6432,1634,4798,0.5422885572139303,2aaa8f0393021bd7d6ec44e95758b8a4eaf1b27c479b817e152d411bcdd82a18,26ce205d3aa66d91ad7f99c73b166e9385e4116f251627f04e1d11bced50de43,0498acab__horizontal_well.csv,0498acab__typewell.csv
052d64df,dev,ab09959866583a7be49fc05f9f6748b18c0cb713991fe6e685351584deb213ec,4590,2145,2445,0.74640522875817,af22afd5000eff3e61f3a847bae252b7135f88eb81ad98235884c7096167114a,62ab4531adac7947880da14143cb4b4413a3719b1ebb5a919d12f1c0db90e11c,052d64df__horizontal_well.csv,052d64df__typewell.csv
